Description,Alpha_code
Animal Food Processor,AFP
Bakery Distributor,BD
Bakery,BK
Contract Milk Hauler,CMH
Custom Meat Processor,CMP
Custom Mobile Slaughter,CMS
Custom Stationary Slaughter,CSS
Domestic Kitchen Bakery License,DKB
Domestic Kitchen Food Processor,DKFP
Dairy Products Plant,DPP
"Shellfish distributor, shipper, wholesaler",DSW
Egg Breaker,EBP
Egg Handler,EHP
Fluid Milk Distributor,FMD
Fluid Milk Producer,FMP
Food Processing Establishment,FP
Food Storage Warehouse,FW
HTST Pasteurizer (2 year license),HPO
Meat Sellers License,MS
Milk Sampler-Grader,MSG
Not listed,N/A
Non-Alcoholic Beverage License,NAB
Non-Processing Distributor Grade A,NPDA
Non-Processing Distributor Grade B,NPDB
Non-Slaughtering Processor,NSP
Producer-Distributor Grade A,PDA
Producer-Distributor Grade B,PDB
Pre-packaged only- Meat sellers,PPM
Poultry & Rabbit Slaughter,PRS
Retail Food Establishment,RFE
Refrigerated Locker Plant,RLP
Shellfish harvester,SCH
Shellfish Grower,SG
Slaughterhouse,SLGH
Shellfish Shucker/Packer,SSP
Vat Pasteurizer (2 year license),VPO
Wholesale Frozen Dessert Manufacturer,WMFD
Cannabis Bakery,CBK
Cannabis Food Processor,CFP
Cannabis Food Warehouse,CFW
Cannabis Non-Alcoholic Beverage,CNAB
Cannabis Retail Food Establishment,CRFE
Cannabis Wholesale Frozen Dessert,CWFD
Dairy Operator Lifetime,DOL
Mobile Milk Tanker,MMT
"Shellfish Distributor, Shipper, Wholesaler",SDSW